,date,rainfall_min,rainfall_mean,rainfall_max,month,year
73,"{'type': 'Date', 'value': 1170288000000}",9.758349418640137,9.758349418640137,9.758349418640137,2,2007
74,"{'type': 'Date', 'value': 1172707200000}",4.1091724038124084,4.1091724038124084,4.1091724038124084,3,2007
75,"{'type': 'Date', 'value': 1175385600000}",4.828421592712402,4.828421592712402,4.828421592712402,4,2007
76,"{'type': 'Date', 'value': 1177977600000}",5.593052625656128,5.593052625656128,5.593052625656128,5,2007
77,"{'type': 'Date', 'value': 1180656000000}",192.01923942565918,192.01923942565918,192.01923942565918,6,2007
78,"{'type': 'Date', 'value': 1183248000000}",262.98532724380493,262.98532724380493,262.98532724380493,7,2007
79,"{'type': 'Date', 'value': 1185926400000}",212.61220836639404,212.61220836639404,212.61220836639404,8,2007
80,"{'type': 'Date', 'value': 1188604800000}",210.68383502960205,210.68383502960205,210.68383502960205,9,2007
81,"{'type': 'Date', 'value': 1191196800000}",47.85091781616211,47.85091781616211,47.85091781616211,10,2007
82,"{'type': 'Date', 'value': 1193875200000}",11.444809198379517,11.444809198379517,11.444809198379517,11,2007
83,"{'type': 'Date', 'value': 1196467200000}",8.307673931121826,8.307673931121826,8.307673931121826,12,2007
84,"{'type': 'Date', 'value': 1199145600000}",5.804129481315613,5.804129481315613,5.804129481315613,1,2008
85,"{'type': 'Date', 'value': 1201824000000}",3.5793882608413696,3.5793882608413696,3.5793882608413696,2,2008
86,"{'type': 'Date', 'value': 1204329600000}",0.0,0.0,0.0,3,2008
87,"{'type': 'Date', 'value': 1207008000000}",0.0,0.0,0.0,4,2008
88,"{'type': 'Date', 'value': 1209600000000}",7.555776357650757,7.555776357650757,7.555776357650757,5,2008
89,"{'type': 'Date', 'value': 1212278400000}",343.5366430282593,343.5366430282593,343.5366430282593,6,2008
90,"{'type': 'Date', 'value': 1214870400000}",329.1716978549957,329.1716978549957,329.1716978549957,7,2008
91,"{'type': 'Date', 'value': 1217548800000}",198.62926125526428,198.62926125526428,198.62926125526428,8,2008
92,"{'type': 'Date', 'value': 1220227200000}",246.01898384094238,246.01898384094238,246.01898384094238,9,2008
93,"{'type': 'Date', 'value': 1222819200000}",48.49708843231201,48.49708843231201,48.49708843231201,10,2008
94,"{'type': 'Date', 'value': 1225497600000}",6.217212915420532,6.217212915420532,6.217212915420532,11,2008
95,"{'type': 'Date', 'value': 1228089600000}",5.964481353759766,5.964481353759766,5.964481353759766,12,2008
96,"{'type': 'Date', 'value': 1230768000000}",9.15490198135376,9.15490198135376,9.15490198135376,1,2009
97,"{'type': 'Date', 'value': 1233446400000}",1.5504570007324219,1.5504570007324219,1.5504570007324219,2,2009
98,"{'type': 'Date', 'value': 1235865600000}",0.0,0.0,0.0,3,2009
99,"{'type': 'Date', 'value': 1238544000000}",0.0,0.0,0.0,4,2009
100,"{'type': 'Date', 'value': 1241136000000}",24.26561427116394,24.26561427116394,24.26561427116394,5,2009
101,"{'type': 'Date', 'value': 1243814400000}",130.1875867843628,130.1875867843628,130.1875867843628,6,2009
102,"{'type': 'Date', 'value': 1246406400000}",167.9791100025177,167.9791100025177,167.9791100025177,7,2009
103,"{'type': 'Date', 'value': 1249084800000}",177.30244398117065,177.30244398117065,177.30244398117065,8,2009
104,"{'type': 'Date', 'value': 1251763200000}",178.90983724594116,178.90983724594116,178.90983724594116,9,2009
105,"{'type': 'Date', 'value': 1254355200000}",49.982452392578125,49.982452392578125,49.982452392578125,10,2009
106,"{'type': 'Date', 'value': 1257033600000}",6.377792000770569,6.377792000770569,6.377792000770569,11,2009
107,"{'type': 'Date', 'value': 1259625600000}",11.341193675994873,11.341193675994873,11.341193675994873,12,2009
108,"{'type': 'Date', 'value': 1262304000000}",20.022490978240967,20.022490978240967,20.022490978240967,1,2010
109,"{'type': 'Date', 'value': 1264982400000}",7.222938060760498,7.222938060760498,7.222938060760498,2,2010
110,"{'type': 'Date', 'value': 1267401600000}",3.405530095100403,3.405530095100403,3.405530095100403,3,2010
111,"{'type': 'Date', 'value': 1270080000000}",2.501265287399292,2.501265287399292,2.501265287399292,4,2010
112,"{'type': 'Date', 'value': 1272672000000}",10.813149452209473,10.813149452209473,10.813149452209473,5,2010
113,"{'type': 'Date', 'value': 1275350400000}",205.53650760650635,205.53650760650635,205.53650760650635,6,2010
114,"{'type': 'Date', 'value': 1277942400000}",365.81791162490845,365.81791162490845,365.81791162490845,7,2010
115,"{'type': 'Date', 'value': 1280620800000}",184.57082605361938,184.57082605361938,184.57082605361938,8,2010
116,"{'type': 'Date', 'value': 1283299200000}",205.80805253982544,205.80805253982544,205.80805253982544,9,2010
117,"{'type': 'Date', 'value': 1285891200000}",10.244468688964844,10.244468688964844,10.244468688964844,10,2010
118,"{'type': 'Date', 'value': 1288569600000}",6.049836874008179,6.049836874008179,6.049836874008179,11,2010
119,"{'type': 'Date', 'value': 1291161600000}",5.839433670043945,5.839433670043945,5.839433670043945,12,2010
120,"{'type': 'Date', 'value': 1293840000000}",5.697430610656738,5.697430610656738,5.697430610656738,1,2011
121,"{'type': 'Date', 'value': 1296518400000}",0.0,0.0,0.0,2,2011
122,"{'type': 'Date', 'value': 1298937600000}",0.0,0.0,0.0,3,2011
123,"{'type': 'Date', 'value': 1301616000000}",4.255113005638123,4.255113005638123,4.255113005638123,4,2011
124,"{'type': 'Date', 'value': 1304208000000}",7.618616580963135,7.618616580963135,7.618616580963135,5,2011
125,"{'type': 'Date', 'value': 1306886400000}",126.95591068267822,126.95591068267822,126.95591068267822,6,2011
126,"{'type': 'Date', 'value': 1309478400000}",291.6021285057068,291.6021285057068,291.6021285057068,7,2011
127,"{'type': 'Date', 'value': 1312156800000}",169.98064398765564,169.98064398765564,169.98064398765564,8,2011
128,"{'type': 'Date', 'value': 1314835200000}",103.34329319000244,103.34329319000244,103.34329319000244,9,2011
129,"{'type': 'Date', 'value': 1317427200000}",63.50604248046875,63.50604248046875,63.50604248046875,10,2011
130,"{'type': 'Date', 'value': 1320105600000}",6.059702634811401,6.059702634811401,6.059702634811401,11,2011
131,"{'type': 'Date', 'value': 1322697600000}",6.011584520339966,6.011584520339966,6.011584520339966,12,2011
132,"{'type': 'Date', 'value': 1325376000000}",7.257217645645142,7.257217645645142,7.257217645645142,1,2012
133,"{'type': 'Date', 'value': 1328054400000}",51.53915071487427,51.53915071487427,51.53915071487427,2,2012
134,"{'type': 'Date', 'value': 1330560000000}",4.443336129188538,4.443336129188538,4.443336129188538,3,2012
135,"{'type': 'Date', 'value': 1333238400000}",4.144529342651367,4.144529342651367,4.144529342651367,4,2012
136,"{'type': 'Date', 'value': 1335830400000}",12.691163301467896,12.691163301467896,12.691163301467896,5,2012
