,date,LST_min,LST_mean,LST_max,month,year
21,"{'type': 'Date', 'value': 1033430400000}",31.406470588235326,31.406470588235326,31.406470588235326,10,2002
22,"{'type': 'Date', 'value': 1036108800000}",28.280666666666693,28.280666666666693,28.280666666666693,11,2002
23,"{'type': 'Date', 'value': 1038700800000}",27.21588235294121,27.21588235294121,27.21588235294121,12,2002
24,"{'type': 'Date', 'value': 1041379200000}",27.29111111111114,27.29111111111114,27.29111111111114,1,2003
25,"{'type': 'Date', 'value': 1044057600000}",32.03521739130438,32.03521739130438,32.03521739130438,2,2003
26,"{'type': 'Date', 'value': 1046476800000}",37.323636363636396,37.323636363636396,37.323636363636396,3,2003
27,"{'type': 'Date', 'value': 1049155200000}",43.984117647058866,43.984117647058866,43.984117647058866,4,2003
28,"{'type': 'Date', 'value': 1051747200000}",43.2934482758621,43.2934482758621,43.2934482758621,5,2003
29,"{'type': 'Date', 'value': 1054425600000}",37.10000000000003,37.10000000000003,37.10000000000003,6,2003
30,"{'type': 'Date', 'value': 1057017600000}",34.97800000000002,34.97800000000002,34.97800000000002,7,2003
31,"{'type': 'Date', 'value': 1059696000000}",37.066000000000045,37.066000000000045,37.066000000000045,8,2003
32,"{'type': 'Date', 'value': 1064966400000}",32.978235294117674,32.978235294117674,32.978235294117674,10,2003
33,"{'type': 'Date', 'value': 1067644800000}",31.382800000000035,31.382800000000035,31.382800000000035,11,2003
34,"{'type': 'Date', 'value': 1070236800000}",27.801764705882384,27.801764705882384,27.801764705882384,12,2003
35,"{'type': 'Date', 'value': 1072915200000}",26.1126666666667,26.1126666666667,26.1126666666667,1,2004
36,"{'type': 'Date', 'value': 1075593600000}",29.488095238095266,29.488095238095266,29.488095238095266,2,2004
37,"{'type': 'Date', 'value': 1078099200000}",36.30913043478263,36.30913043478263,36.30913043478263,3,2004
38,"{'type': 'Date', 'value': 1080777600000}",40.327000000000034,40.327000000000034,40.327000000000034,4,2004
39,"{'type': 'Date', 'value': 1083369600000}",41.15900000000004,41.15900000000004,41.15900000000004,5,2004
40,"{'type': 'Date', 'value': 1086048000000}",32.762727272727304,32.762727272727304,32.762727272727304,6,2004
41,"{'type': 'Date', 'value': 1088640000000}",32.7066666666667,32.7066666666667,32.7066666666667,7,2004
42,"{'type': 'Date', 'value': 1091318400000}",34.63400000000003,34.63400000000003,34.63400000000003,8,2004
43,"{'type': 'Date', 'value': 1093996800000}",34.61800000000004,34.61800000000004,34.61800000000004,9,2004
44,"{'type': 'Date', 'value': 1096588800000}",31.643333333333366,31.643333333333366,31.643333333333366,10,2004
45,"{'type': 'Date', 'value': 1099267200000}",31.353809523809552,31.353809523809552,31.353809523809552,11,2004
46,"{'type': 'Date', 'value': 1101859200000}",25.950000000000028,25.950000000000028,25.950000000000028,12,2004
47,"{'type': 'Date', 'value': 1104537600000}",28.00428571428575,28.00428571428575,28.00428571428575,1,2005
48,"{'type': 'Date', 'value': 1107216000000}",31.302000000000035,31.302000000000035,31.302000000000035,2,2005
49,"{'type': 'Date', 'value': 1109635200000}",36.73583333333335,36.73583333333335,36.73583333333335,3,2005
50,"{'type': 'Date', 'value': 1112313600000}",43.174000000000035,43.174000000000035,43.174000000000035,4,2005
51,"{'type': 'Date', 'value': 1114905600000}",42.614800000000024,42.614800000000024,42.614800000000024,5,2005
52,"{'type': 'Date', 'value': 1117584000000}",42.60818181818184,42.60818181818184,42.60818181818184,6,2005
53,"{'type': 'Date', 'value': 1120176000000}",34.43750000000002,34.43750000000002,34.43750000000002,7,2005
54,"{'type': 'Date', 'value': 1122854400000}",33.83000000000003,33.83000000000003,33.83000000000003,8,2005
55,"{'type': 'Date', 'value': 1125532800000}",34.153333333333364,34.153333333333364,34.153333333333364,9,2005
56,"{'type': 'Date', 'value': 1128124800000}",33.25900000000003,33.25900000000003,33.25900000000003,10,2005
57,"{'type': 'Date', 'value': 1130803200000}",31.55148148148152,31.55148148148152,31.55148148148152,11,2005
58,"{'type': 'Date', 'value': 1133395200000}",28.409047619047648,28.409047619047648,28.409047619047648,12,2005
59,"{'type': 'Date', 'value': 1136073600000}",27.608260869565253,27.608260869565253,27.608260869565253,1,2006
60,"{'type': 'Date', 'value': 1138752000000}",32.49640000000002,32.49640000000002,32.49640000000002,2,2006
61,"{'type': 'Date', 'value': 1141171200000}",38.15384615384618,38.15384615384618,38.15384615384618,3,2006
62,"{'type': 'Date', 'value': 1143849600000}",42.75814814814817,42.75814814814817,42.75814814814817,4,2006
63,"{'type': 'Date', 'value': 1146441600000}",42.66217391304351,42.66217391304351,42.66217391304351,5,2006
64,"{'type': 'Date', 'value': 1149120000000}",38.56666666666669,38.56666666666669,38.56666666666669,6,2006
65,"{'type': 'Date', 'value': 1151712000000}",33.35500000000004,33.35500000000004,33.35500000000004,7,2006
66,"{'type': 'Date', 'value': 1154390400000}",34.986666666666686,34.986666666666686,34.986666666666686,8,2006
67,"{'type': 'Date', 'value': 1157068800000}",36.39666666666668,36.39666666666668,36.39666666666668,9,2006
68,"{'type': 'Date', 'value': 1159660800000}",30.79833333333337,30.79833333333337,30.79833333333337,10,2006
69,"{'type': 'Date', 'value': 1162339200000}",29.440909090909113,29.440909090909113,29.440909090909113,11,2006
70,"{'type': 'Date', 'value': 1164931200000}",26.090869565217417,26.090869565217417,26.090869565217417,12,2006
71,"{'type': 'Date', 'value': 1167609600000}",27.087333333333365,27.087333333333365,27.087333333333365,1,2007
72,"{'type': 'Date', 'value': 1170288000000}",31.27190476190479,31.27190476190479,31.27190476190479,2,2007
73,"{'type': 'Date', 'value': 1172707200000}",36.69090909090912,36.69090909090912,36.69090909090912,3,2007
74,"{'type': 'Date', 'value': 1175385600000}",41.47555555555559,41.47555555555559,41.47555555555559,4,2007
75,"{'type': 'Date', 'value': 1177977600000}",43.210000000000036,43.210000000000036,43.210000000000036,5,2007
76,"{'type': 'Date', 'value': 1180656000000}",38.70294117647063,38.70294117647063,38.70294117647063,6,2007
77,"{'type': 'Date', 'value': 1183248000000}",33.84600000000003,33.84600000000003,33.84600000000003,7,2007
78,"{'type': 'Date', 'value': 1185926400000}",34.52000000000004,34.52000000000004,34.52000000000004,8,2007
79,"{'type': 'Date', 'value': 1188604800000}",32.451666666666696,32.451666666666696,32.451666666666696,9,2007
80,"{'type': 'Date', 'value': 1191196800000}",30.778571428571457,30.778571428571457,30.778571428571457,10,2007
81,"{'type': 'Date', 'value': 1193875200000}",30.4891666666667,30.4891666666667,30.4891666666667,11,2007
82,"{'type': 'Date', 'value': 1196467200000}",28.582500000000028,28.582500000000028,28.582500000000028,12,2007
83,"{'type': 'Date', 'value': 1199145600000}",28.438695652173948,28.438695652173948,28.438695652173948,1,2008
84,"{'type': 'Date', 'value': 1201824000000}",33.5392307692308,33.5392307692308,33.5392307692308,2,2008
85,"{'type': 'Date', 'value': 1204329600000}",37.99296296296299,37.99296296296299,37.99296296296299,3,2008
86,"{'type': 'Date', 'value': 1207008000000}",43.61916666666669,43.61916666666669,43.61916666666669,4,2008
87,"{'type': 'Date', 'value': 1209600000000}",42.29538461538466,42.29538461538466,42.29538461538466,5,2008
88,"{'type': 'Date', 'value': 1212278400000}",35.792352941176496,35.792352941176496,35.792352941176496,6,2008
89,"{'type': 'Date', 'value': 1214870400000}",35.235714285714316,35.235714285714316,35.235714285714316,7,2008
90,"{'type': 'Date', 'value': 1217548800000}",33.353333333333374,33.353333333333374,33.353333333333374,8,2008
91,"{'type': 'Date', 'value': 1220227200000}",34.070000000000036,34.070000000000036,34.070000000000036,9,2008
92,"{'type': 'Date', 'value': 1222819200000}",33.54857142857146,33.54857142857146,33.54857142857146,10,2008
93,"{'type': 'Date', 'value': 1225497600000}",30.15000000000002,30.15000000000002,30.15000000000002,11,2008
94,"{'type': 'Date', 'value': 1228089600000}",27.709090909090946,27.709090909090946,27.709090909090946,12,2008
95,"{'type': 'Date', 'value': 1230768000000}",28.08000000000003,28.08000000000003,28.08000000000003,1,2009
96,"{'type': 'Date', 'value': 1233446400000}",32.93869565217394,32.93869565217394,32.93869565217394,2,2009
97,"{'type': 'Date', 'value': 1235865600000}",38.3003703703704,38.3003703703704,38.3003703703704,3,2009
98,"{'type': 'Date', 'value': 1238544000000}",42.618461538461574,42.618461538461574,42.618461538461574,4,2009
99,"{'type': 'Date', 'value': 1241136000000}",41.51583333333336,41.51583333333336,41.51583333333336,5,2009
100,"{'type': 'Date', 'value': 1243814400000}",39.24076923076926,39.24076923076926,39.24076923076926,6,2009
101,"{'type': 'Date', 'value': 1246406400000}",37.179333333333375,37.179333333333375,37.179333333333375,7,2009
102,"{'type': 'Date', 'value': 1249084800000}",36.41000000000003,36.41000000000003,36.41000000000003,8,2009
103,"{'type': 'Date', 'value': 1251763200000}",35.616666666666696,35.616666666666696,35.616666666666696,9,2009
104,"{'type': 'Date', 'value': 1254355200000}",34.14818181818185,34.14818181818185,34.14818181818185,10,2009
105,"{'type': 'Date', 'value': 1257033600000}",31.11250000000003,31.11250000000003,31.11250000000003,11,2009
106,"{'type': 'Date', 'value': 1259625600000}",27.521428571428594,27.521428571428594,27.521428571428594,12,2009
107,"{'type': 'Date', 'value': 1262304000000}",27.181764705882383,27.181764705882383,27.181764705882383,1,2010
108,"{'type': 'Date', 'value': 1264982400000}",28.204285714285753,28.204285714285753,28.204285714285753,2,2010
109,"{'type': 'Date', 'value': 1267401600000}",37.368181818181846,37.368181818181846,37.368181818181846,3,2010
110,"{'type': 'Date', 'value': 1270080000000}",41.05100000000003,41.05100000000003,41.05100000000003,4,2010
111,"{'type': 'Date', 'value': 1272672000000}",44.239090909090926,44.239090909090926,44.239090909090926,5,2010
112,"{'type': 'Date', 'value': 1275350400000}",38.67500000000003,38.67500000000003,38.67500000000003,6,2010
113,"{'type': 'Date', 'value': 1277942400000}",34.51666666666669,34.51666666666669,34.51666666666669,7,2010
114,"{'type': 'Date', 'value': 1280620800000}",34.5614285714286,34.5614285714286,34.5614285714286,8,2010
115,"{'type': 'Date', 'value': 1283299200000}",36.123333333333356,36.123333333333356,36.123333333333356,9,2010
