,date,Gpp,PsnNet
455,2010-12-03,0.00845151515151515,0.007470798898071625
456,2010-12-11,0.007085399449035813,0.006259779614325069
457,2010-12-19,0.0070539944903581266,0.006028374655647383
458,2010-12-27,0.0040363636363636365,0.0036118457300275486
459,2011-01-01,0.007277134986225895,0.006492011019283747
460,2011-01-09,0.006903305785123966,0.006057575757575758
461,2011-01-17,0.007321487603305785,0.0062735537190082655
462,2011-01-25,0.009976308539944904,0.008429752066115704
463,2011-02-02,0.007705234159779614,0.0068735537190082645
464,2011-02-10,0.007432506887052342,0.006557300275482094
465,2011-02-18,0.008892286501377411,0.007645179063360882
466,2011-02-26,0.009437190082644629,0.00804931129476584
467,2011-03-06,0.008867493112947657,0.007430027548209366
468,2011-03-14,0.007403581267217631,0.006501101928374656
469,2011-03-22,0.010912947658402205,0.008814876033057853
470,2011-03-30,0.008383471074380165,0.007135261707988982
471,2011-04-07,0.008096143250688706,0.005929201101928376
472,2011-04-15,0.010386225895316806,0.008288154269972453
473,2011-04-23,0.009265840220385676,0.007241046831955923
474,2011-05-01,0.008758953168044077,0.0075426997245179065
475,2011-05-09,0.009892011019283747,0.007477685950413224
476,2011-05-17,0.00998595041322314,0.007214325068870524
477,2011-05-25,0.010979338842975209,0.008641322314049588
478,2011-06-02,0.010627548209366393,0.009033333333333334
479,2011-06-10,0.010375206611570249,0.008159504132231404
480,2011-06-18,0.008306887052341599,0.006327272727272728
481,2011-06-26,0.011906887052341596,0.009947658402203859
482,2011-07-04,0.018334159779614327,0.015523691460055097
483,2011-07-12,0.025139669421487605,0.022228650137741047
484,2011-07-20,0.021870798898071624,0.01835564738292011
485,2011-07-28,0.025487603305785124,0.022062258953168046
486,2011-08-05,0.018953719008264463,0.01562699724517906
487,2011-08-13,0.025347658402203856,0.022204132231404963
488,2011-08-21,0.021771900826446283,0.018609090909090912
489,2011-08-29,0.0224564738292011,0.018734710743801654
490,2011-09-06,0.027477134986225893,0.02456528925619835
491,2011-09-14,0.027617630853994494,0.024153443526170805
492,2011-09-22,0.02282258953168044,0.01977438016528926
493,2011-09-30,0.020168319559228653,0.018080440771349862
494,2011-10-08,0.016110468319559233,0.01383168044077135
495,2011-10-16,0.01733801652892562,0.015353719008264464
496,2011-10-24,0.015883195592286504,0.014184573002754821
497,2011-11-01,0.012564187327823691,0.011058677685950416
498,2011-11-09,0.009167768595041323,0.008100000000000001
499,2011-11-17,0.01396253443526171,0.012327272727272728
500,2011-11-25,0.009679614325068872,0.00841763085399449
501,2011-12-03,0.007680991735537191,0.0067473829201101935
502,2011-12-11,0.007205785123966942,0.006400826446280991
503,2011-12-19,0.0075633608815427,0.006751790633608815
504,2011-12-27,0.004255922865013775,0.0036958677685950416
505,2012-01-01,0.006412121212121212,0.005785674931129477
506,2012-01-09,0.005841322314049587,0.005160881542699725
507,2012-01-17,0.007768870523415978,0.006785399449035814
508,2012-01-25,0.006832506887052343,0.006081818181818182
509,2012-02-02,0.00623085399449036,0.005411294765840221
510,2012-02-10,0.0057482093663911845,0.005040220385674931
511,2012-02-18,0.007841046831955923,0.006786225895316804
512,2012-02-26,0.012272176308539946,0.010642424242424241
513,2012-03-05,0.011728099173553719,0.010217906336088154
514,2012-03-13,0.013285123966942149,0.01162038567493113
515,2012-03-21,0.014608539944903581,0.012916253443526171
516,2012-03-29,0.012284022038567495,0.010392561983471075
517,2012-04-06,0.012253719008264462,0.010663911845730028
518,2012-04-14,0.01687382920110193,0.014357575757575756
519,2012-04-22,0.00809862258953168,0.006875757575757575
520,2012-04-30,0.0127366391184573,0.010328374655647383
521,2012-05-08,0.011416528925619835,0.009313774104683196
522,2012-05-16,0.01235840220385675,0.010719834710743802
523,2012-05-24,0.010188154269972452,0.008285950413223142
524,2012-06-01,0.014141322314049588,0.011334986225895316
525,2012-06-09,0.011622589531680442,0.009825344352617081
526,2012-06-17,0.008263085399449036,0.006754545454545456
527,2012-06-25,0.013536363636363636,0.011924242424242426
528,2012-07-03,0.023455371900826447,0.02055619834710744
529,2012-07-11,0.01495840220385675,0.012743250688705235
530,2012-07-19,0.029390633608815428,0.02539614325068871
